timestamp(ms),X,Y,Z,class
25861,-2.39,-1.49,-9.96,0
25873,-2.35,-1.45,-9.96,0
25885,-2.39,-1.45,-9.92,0
25897,-2.35,-1.49,-9.96,0
25909,-2.35,-1.45,-9.89,0
25921,-2.35,-1.45,-9.96,0
25933,-2.39,-1.45,-9.96,0
25945,-2.39,-1.45,-9.96,0
25957,-2.35,-1.49,-9.92,0
25969,-2.35,-1.41,-9.96,0
25981,-2.39,-1.45,-9.96,0
25993,-2.39,-1.49,-9.92,0
26005,-2.35,-1.49,-9.92,0
26017,-2.28,-1.49,-9.96,0
26029,-2.31,-1.49,-9.89,0
26041,-2.43,-1.49,-9.92,0
26053,-2.35,-1.45,-9.89,0
26065,-2.28,-1.49,-9.92,0
26077,-2.39,-1.37,-9.92,0
26089,-2.39,-1.49,-9.89,0
26101,-2.39,-1.49,-9.96,0
26113,-2.35,-1.49,-9.96,0
26125,-2.31,-1.53,-9.96,0
26137,-2.31,-1.45,-9.96,0
26149,-2.35,-1.45,-9.96,0
26161,-2.39,-1.49,-9.89,0
26173,-2.35,-1.45,-9.92,0
26185,-2.31,-1.49,-9.92,0
26197,-2.39,-1.49,-9.89,0
26209,-2.39,-1.53,-9.96,0
26221,-2.39,-1.45,-9.92,0
26233,-2.35,-1.49,-9.92,0
26245,-2.35,-1.45,-9.92,0
26257,-2.43,-1.49,-9.92,0
26269,-2.39,-1.49,-9.92,0
26281,-2.31,-1.49,-9.92,0
26293,-2.35,-1.49,-9.96,0
26305,-2.39,-1.49,-9.92,0
26317,-2.39,-1.45,-10.0,0
26329,-2.35,-1.49,-9.96,0
26341,-2.35,-1.49,-9.92,0
26353,-2.35,-1.49,-9.92,0
26365,-2.35,-1.41,-9.96,0
26377,-2.39,-1.41,-9.92,0
26389,-2.31,-1.49,-9.96,0
26401,-2.39,-1.45,-9.96,0
26413,-2.39,-1.49,-9.96,0
26425,-2.35,-1.45,-9.96,0
26437,-2.39,-1.45,-9.92,0
26449,-2.39,-1.45,-9.92,0
26461,-2.39,-1.45,-9.89,0
26473,-2.35,-1.45,-9.92,0
26485,-2.39,-1.45,-9.92,0
26497,-2.35,-1.49,-9.96,0
26509,-2.35,-1.49,-9.92,0
26521,-2.39,-1.45,-9.96,0
26533,-2.35,-1.49,-9.92,0
26545,-2.31,-1.49,-9.96,0
26557,-2.39,-1.45,-9.96,0
26569,-2.43,-1.45,-9.92,0
26581,-2.35,-1.45,-9.92,0
26593,-2.39,-1.45,-9.92,0
26605,-2.39,-1.45,-9.96,0
26617,-2.39,-1.45,-9.96,0
26629,-2.35,-1.49,-9.96,0
26641,-2.35,-1.45,-9.96,0
26653,-2.35,-1.49,-9.92,0
26665,-2.35,-1.49,-9.96,0
26677,-2.39,-1.45,-9.96,0
26689,-2.35,-1.49,-9.89,0
26701,-2.39,-1.49,-9.92,0
26713,-2.31,-1.49,-9.92,0
26725,-2.43,-1.49,-9.96,0
26737,-2.39,-1.41,-10.0,0
26749,-2.31,-1.45,-9.96,0
26761,-2.43,-1.45,-9.96,0
26773,-2.39,-1.49,-9.92,0
26785,-2.35,-1.45,-9.96,0
26797,-2.31,-1.49,-9.96,0
26809,-2.35,-1.45,-9.92,0
26821,-2.35,-1.45,-9.92,0
26833,-2.31,-1.45,-9.92,0
26845,-2.35,-1.41,-9.96,0
26857,-2.43,-1.45,-9.89,0
26869,-2.39,-1.45,-9.96,0
26881,-2.35,-1.45,-9.92,0
26893,-2.39,-1.49,-9.92,0
26905,-2.35,-1.45,-9.96,0
26917,-2.35,-1.49,-9.92,0
26929,-2.35,-1.49,-9.96,0
26941,-2.35,-1.41,-9.92,0
26953,-2.35,-1.49,-9.96,0
26965,-2.35,-1.45,-9.92,0
26977,-2.35,-1.49,-9.96,0
26989,-2.35,-1.49,-9.96,0
27001,-2.35,-1.45,-9.92,0
27013,-2.39,-1.41,-9.92,0
27025,-2.39,-1.45,-9.92,0
27037,-2.31,-1.49,-9.92,0
27049,-2.39,-1.49,-10.0,0
27061,-2.35,-1.53,-9.92,0
27073,-2.35,-1.49,-9.96,0
27085,-2.31,-1.45,-9.92,0
27097,-2.39,-1.49,-9.96,0
27109,-2.39,-1.49,-10.0,0
27121,-2.39,-1.49,-9.96,0
27133,-2.35,-1.45,-9.92,0
27145,-2.35,-1.45,-9.96,0
27157,-2.43,-1.45,-9.92,0
27169,-2.31,-1.45,-9.96,0
27181,-2.39,-1.53,-9.92,0
27193,-2.39,-1.49,-9.92,0
27205,-2.35,-1.45,-9.96,0
27217,-2.35,-1.45,-9.92,0
27229,-2.39,-1.45,-9.96,0
27241,-2.35,-1.45,-9.92,0
27253,-2.35,-1.49,-9.92,0
27265,-2.39,-1.45,-9.96,0
27277,-2.35,-1.49,-9.96,0
27289,-2.35,-1.49,-9.92,0
27301,-2.35,-1.53,-9.92,0
27313,-2.35,-1.45,-9.92,0
27325,-2.39,-1.49,-9.92,0
27337,-2.35,-1.49,-9.89,0
27349,-2.39,-1.49,-9.92,0
27361,-2.35,-1.49,-9.96,0
27373,-2.31,-1.53,-9.92,0
27385,-2.39,-1.49,-9.92,0
27397,-2.39,-1.49,-9.92,0
27409,-2.31,-1.45,-9.96,0
27421,-2.31,-1.45,-9.92,0
27433,-2.39,-1.45,-9.92,0
27445,-2.43,-1.45,-9.96,0
27457,-2.31,-1.45,-9.96,0
27469,-2.39,-1.45,-10.0,0
27481,-2.43,-1.45,-9.92,0
27493,-2.31,-1.45,-9.89,0
27505,-2.35,-1.37,-9.92,0
27517,-2.39,-1.49,-9.96,0
27529,-2.43,-1.45,-9.96,0
27541,-2.35,-1.49,-9.92,0
27553,-2.31,-1.45,-9.96,0
27565,-2.35,-1.49,-9.92,0
27577,-2.35,-1.49,-9.92,0
27589,-2.35,-1.45,-9.92,0
27601,-2.31,-1.49,-9.92,0
27613,-2.35,-1.45,-9.92,0
27625,-2.35,-1.49,-9.92,0
27637,-2.39,-1.53,-9.92,0
27649,-2.39,-1.49,-9.89,0
27661,-2.35,-1.45,-9.92,0
27673,-2.39,-1.49,-9.96,0
27685,-2.35,-1.49,-9.92,0
27697,-2.35,-1.45,-9.92,0
27709,-2.35,-1.45,-9.92,0
27721,-2.35,-1.49,-9.96,0
27733,-2.31,-1.45,-9.92,0
27745,-2.35,-1.45,-9.96,0
27757,-2.35,-1.45,-9.92,0
27769,-2.35,-1.45,-9.92,0
27781,-2.35,-1.49,-9.96,0
27793,-2.39,-1.45,-9.96,0
27805,-2.39,-1.41,-9.92,0
27817,-2.35,-1.49,-9.92,0
27829,-2.39,-1.49,-9.92,0
27841,-2.39,-1.45,-9.96,0
27853,-2.43,-1.45,-9.96,0
27865,-2.35,-1.45,-9.96,0
27877,-2.39,-1.49,-9.96,0
27889,-2.31,-1.49,-9.96,0
27901,-2.31,-1.49,-9.96,0
27913,-2.35,-1.49,-9.92,0
27925,-2.35,-1.53,-9.92,0
27937,-2.35,-1.49,-9.92,0
27949,-2.39,-1.45,-9.96,0
27961,-2.31,-1.45,-9.89,0
27973,-2.39,-1.45,-9.92,0
27985,-2.39,-1.53,-9.96,0
27997,-2.39,-1.49,-9.92,0
28009,-2.39,-1.45,-9.96,0
28021,-2.35,-1.49,-9.89,0
28033,-2.39,-1.49,-9.92,0
28045,-2.43,-1.49,-9.96,0
28057,-2.31,-1.49,-9.96,0
28069,-2.35,-1.49,-9.96,0
28081,-2.39,-1.45,-9.96,0
28093,-2.43,-1.49,-9.92,0
28105,-2.35,-1.45,-9.92,0
28117,-2.39,-1.45,-9.96,0
28129,-2.35,-1.53,-9.96,0
28141,-2.43,-1.45,-9.92,0
28153,-2.35,-1.45,-9.96,0
28165,-2.39,-1.49,-9.92,0
28177,-2.39,-1.49,-9.92,0
28189,-2.35,-1.49,-9.92,0
28201,-2.39,-1.45,-9.92,0
28213,-2.43,-1.41,-9.92,0
28225,-2.35,-1.49,-9.92,0
